#date,checker,turbidity,ph,chlorine,temperature,conductivity
,"내곡,",0.04,7.0,0.29,8.3,219.0
"09:00:00,","우면동(품질시험소),",0.04,7.2,0.28,7.2,214.0
"09:00:00,","논현동(논현초교),",0.09,7.1,0.21,8.5,
"09:00:00,","양재동(매헌초교),",,7.1,0.33,5.9,205.0
"09:00:00,","삼성,",0.02,7.0,0.37,5.8,100.0
"09:00:00,","봉은,",0.05,7.1,0.41,6.9,216.0
"09:00:00,","수서,",0.02,7.0,0.34,5.8,100.0
"09:00:00,","자곡동(자곡증압),",0.04,7.1,0.34,3.9,218.0
"09:00:00,","삼성동(삼성증압),",0.04,7.1,0.34,5.1,232.0
"10:00:00,","서초,",0.04,7.1,0.39,5.7,236.0
,"방배,",0.05,7.2,0.37,,215.0
"10:00:00,","일원,",,7.1,0.3,7.1,230.0
"10:00:00,","우면산,",0.02,7.1,0.41,5.4,222.0
"10:00:00,","도곡동(강남수도),",0.05,7.0,0.26,4.8,214.0
"10:00:00,","반포,",0.05,6.9,0.36,6.0,241.0
"10:00:00,","내곡동(연간단가),",0.05,7.2,0.29,6.4,214.0
"10:00:00,","반포동(자이A),",0.05,7.0,0.32,5.0,200.0
"10:00:00,","방배동(청두공원),",,,,,
"10:00:00,","내곡,",0.05,7.0,0.28,8.5,219.0
"10:00:00,","우면동(품질시험소),",0.04,7.2,0.29,,214.0
"10:00:00,","논현동(논현초교),",0.09,7.1,0.21,8.6,205.0
,"양재동(매헌초교),",0.11,7.1,0.33,5.9,203.0
"10:00:00,","삼성,",0.02,7.0,0.37,5.8,100.0
"10:00:00,",,0.05,7.1,0.41,6.9,
"10:00:00,","수서,",0.02,7.0,0.33,5.8,100.0
"10:00:00,","자곡동(자곡증압),",0.04,,0.33,4.0,219.0
"10:00:00,","삼성동(삼성증압),",0.04,7.1,0.34,5.0,232.0
"11:00:00,","서초,",0.04,7.1,0.39,5.7,236.0
"11:00:00,","방배,",0.05,7.2,0.36,5.4,
"11:00:00,","일원,",0.04,7.1,0.33,7.1,229.0
"11:00:00,","우면산,",0.02,7.1,0.41,5.4,222.0
"11:00:00,","도곡동(강남수도),",0.05,7.0,0.25,4.8,214.0
"11:00:00,","반포,",0.05,6.9,0.36,6.0,240.0
"11:00:00,","내곡동(연간단가),",0.05,7.2,0.27,6.3,214.0
"11:00:00,","반포동(자이A),",0.04,7.0,0.38,4.3,199.0
"11:00:00,","방배동(청두공원),",,,,,
"11:00:00,","내곡,",0.04,7.0,0.3,8.2,219.0
"11:00:00,","우면동(품질시험소),",0.04,7.2,0.31,7.7,213.0
"11:00:00,","논현동(논현초교),",0.1,7.2,0.21,7.9,206.0
"11:00:00,","양재동(매헌초교),",0.11,7.1,0.32,6.2,204.0
"11:00:00,","삼성,",0.02,7.0,0.37,5.7,100.0
"11:00:00,","봉은,",0.05,7.1,0.41,6.9,216.0
"11:00:00,","수서,",0.02,7.0,0.33,5.7,100.0
"11:00:00,","자곡동(자곡증압),",0.04,7.2,0.24,4.3,221.0
"11:00:00,","삼성동(삼성증압),",0.04,7.1,0.34,5.1,232.0
"12:00:00,","서초,",0.04,7.1,0.39,5.8,236.0
"12:00:00,","방배,",0.05,7.2,0.36,5.5,215.0
