#date,checker,turbidity,ph,chlorine,temperature,conductivity
,"삼성동(삼성증압),",0.04,7.1,,5.4,269.0
"04:00:00,","서초,",0.04,7.0,0.41,5.9,293.0
"04:00:00,","방배,",0.05,7.1,0.34,5.8,263.0
"04:00:00,","일원,",0.04,7.1,0.28,7.4,286.0
"04:00:00,","우면산,",0.02,7.1,,5.9,258.0
"04:00:00,","도곡동(강남수도),",0.05,7.0,0.26,5.6,251.0
"04:00:00,","반포,",0.05,6.9,0.42,6.4,282.0
"04:00:00,","내곡동(연간단가),",0.05,7.1,0.31,6.5,255.0
"04:00:00,","반포동(자이A),",0.03,6.9,0.47,4.6,234.0
"04:00:00,","방배동(청두공원),",,,,,
"04:00:00,","내곡,",0.04,6.9,0.35,8.4,267.0
"04:00:00,","우면동(품질시험소),",0.04,7.1,0.32,7.8,265.0
"04:00:00,",,0.1,7.1,0.22,7.8,241.0
"04:00:00,","양재동(매헌초교),",0.11,7.1,0.33,6.4,249.0
"04:00:00,","삼성,",0.02,6.9,0.43,5.8,100.0
"04:00:00,","봉은,",0.05,7.1,0.41,7.3,248.0
"04:00:00,","수서,",0.02,6.9,0.46,5.8,100.0
"04:00:00,","자곡동(자곡증압),",0.04,7.1,0.29,4.0,261.0
"04:00:00,","삼성동(삼성증압),",0.04,7.1,0.34,5.4,268.0
"05:00:00,","서초,",0.04,7.0,0.41,6.0,291.0
"05:00:00,","방배,",0.05,7.1,0.34,5.8,263.0
"05:00:00,","일원,",0.04,7.1,0.26,7.5,287.0
"05:00:00,","우면산,",0.02,7.1,0.47,5.9,259.0
"05:00:00,","도곡동(강남수도),",0.05,7.0,0.26,5.6,250.0
"05:00:00,",,0.05,6.9,0.43,6.4,281.0
"05:00:00,","내곡동(연간단가),",0.05,7.1,0.3,6.7,256.0
"05:00:00,","반포동(자이A),",0.03,6.9,0.46,4.7,234.0
"05:00:00,","방배동(청두공원),",,,,,
"05:00:00,","내곡,",0.04,6.9,0.34,8.1,267.0
"05:00:00,","우면동(품질시험소),",,7.1,0.29,7.8,265.0
"05:00:00,","논현동(논현초교),",0.1,7.0,0.21,8.8,238.0
"05:00:00,","양재동(매헌초교),",0.11,7.1,0.33,6.4,246.0
"05:00:00,","삼성,",0.02,6.9,0.42,5.9,100.0
,"봉은,",0.05,7.1,0.41,7.2,249.0
"05:00:00,","수서,",0.02,6.9,0.42,5.9,100.0
"05:00:00,","자곡동(자곡증압),",0.04,7.1,0.3,4.0,261.0
"05:00:00,","삼성동(삼성증압),",0.04,7.1,0.34,5.4,268.0
"06:00:00,","서초,",0.04,7.0,0.41,5.9,291.0
"06:00:00,","방배,",0.05,7.1,,5.8,262.0
"06:00:00,","일원,",0.04,7.1,0.27,7.5,289.0
"06:00:00,","우면산,",0.02,7.1,0.47,5.9,259.0
"06:00:00,","도곡동(강남수도),",0.05,7.0,0.27,,250.0
"06:00:00,","반포,",0.05,6.9,0.43,6.3,286.0
"06:00:00,","내곡동(연간단가),",0.05,7.1,0.3,6.7,256.0
"06:00:00,","반포동(자이A),",0.03,6.9,0.45,4.8,234.0
"06:00:00,","방배동(청두공원),",,,,,
"06:00:00,","내곡,",0.04,6.9,,8.5,266.0
"06:00:00,","우면동(품질시험소),",0.04,7.1,0.26,7.9,264.0
"06:00:00,","논현동(논현초교),",0.09,,0.21,9.4,234.0
"06:00:00,","양재동(매헌초교),",0.11,7.1,0.32,6.4,247.0
"06:00:00,","삼성,",0.02,6.9,0.43,5.9,
"06:00:00,","봉은,",0.05,7.1,0.41,,249.0
,"수서,",0.02,6.9,0.42,5.9,100.0
"06:00:00,","자곡동(자곡증압),",0.04,7.1,0.29,4.1,
"06:00:00,","삼성동(삼성증압),",0.04,7.1,0.33,5.4,268.0
"07:00:00,","서초,",0.04,7.0,0.41,6.0,
"07:00:00,","방배,",0.05,7.1,0.35,5.9,261.0
"07:00:00,","일원,",0.04,7.1,0.32,7.4,284.0
"07:00:00,","우면산,",0.02,7.1,0.47,5.9,259.0
"07:00:00,","도곡동(강남수도),",0.05,7.0,0.28,5.4,250.0
"07:00:00,","반포,",0.05,6.9,0.41,6.4,295.0
"07:00:00,","내곡동(연간단가),",0.05,7.1,0.26,6.6,255.0
"07:00:00,","반포동(자이A),",0.03,6.9,0.44,4.9,233.0
"07:00:00,","방배동(청두공원),",,,,,
"07:00:00,","내곡,",0.05,6.9,0.31,8.2,266.0
"07:00:00,","우면동(품질시험소),",0.04,7.1,0.24,7.9,262.0
"07:00:00,","논현동(논현초교),",0.09,7.1,0.21,9.7,231.0
"07:00:00,","양재동(매헌초교),",,7.1,0.32,6.4,245.0
"07:00:00,","삼성,",0.02,6.9,0.43,5.9,100.0
"07:00:00,","봉은,",,7.1,0.41,7.0,249.0
"07:00:00,","수서,",0.02,6.9,0.44,5.9,100.0
"07:00:00,","자곡동(자곡증압),",0.04,7.1,0.31,4.1,260.0
"07:00:00,","삼성동(삼성증압),",0.04,7.1,0.33,5.4,268.0
"08:00:00,","서초,",0.04,7.0,0.41,6.0,288.0
,"방배,",0.05,7.1,0.35,5.9,257.0
"08:00:00,","일원,",0.04,,0.29,7.3,286.0
"08:00:00,","우면산,",0.02,7.1,0.47,5.9,260.0
"08:00:00,","도곡동(강남수도),",0.05,7.0,0.27,5.8,252.0
"08:00:00,","반포,",0.05,6.9,0.4,6.3,295.0
"08:00:00,","내곡동(연간단가),",0.05,7.1,0.24,6.5,256.0
"08:00:00,","반포동(자이A),",0.03,6.9,,5.0,234.0
"08:00:00,","방배동(청두공원),",,,,,
"08:00:00,","내곡,",0.04,6.9,0.31,8.5,264.0
"08:00:00,",,0.04,7.1,0.3,7.9,260.0
"08:00:00,","논현동(논현초교),",0.1,7.1,0.21,9.6,229.0
"08:00:00,","양재동(매헌초교),",0.11,7.1,0.33,6.4,243.0
"08:00:00,","삼성,",0.02,6.9,0.43,5.8,100.0
"08:00:00,","봉은,",0.05,7.1,0.41,7.1,249.0
"08:00:00,","수서,",0.02,6.9,0.45,5.8,100.0
"08:00:00,","자곡동(자곡증압),",0.04,7.1,0.33,4.2,259.0
"08:00:00,","삼성동(삼성증압),",0.04,7.1,0.34,5.4,268.0
"09:00:00,","서초,",0.04,7.0,0.4,6.0,286.0
"09:00:00,","방배,",0.05,7.1,0.35,5.9,254.0
"09:00:00,",,0.04,7.1,0.33,7.2,285.0
"09:00:00,","우면산,",0.02,7.1,0.47,5.9,260.0
"09:00:00,","도곡동(강남수도),",0.05,7.0,,6.0,251.0
"09:00:00,","반포,",0.05,6.9,0.39,6.4,294.0
"09:00:00,","내곡동(연간단가),",0.05,7.1,0.25,6.6,255.0
"09:00:00,","반포동(자이A),",0.03,6.9,0.42,5.2,233.0
"09:00:00,","방배동(청두공원),",,,,,
"09:00:00,","내곡,",0.05,6.9,0.31,8.3,265.0
"09:00:00,","우면동(품질시험소),",0.04,7.1,0.33,7.9,257.0
,"논현동(논현초교),",0.1,7.1,0.21,9.2,232.0
"09:00:00,","양재동(매헌초교),",0.11,7.1,0.33,,246.0
"09:00:00,","삼성,",0.02,6.9,0.43,5.7,100.0
"09:00:00,","봉은,",0.05,7.1,0.41,7.1,250.0
"09:00:00,","수서,",0.02,6.9,0.45,5.7,100.0
"09:00:00,","자곡동(자곡증압),",0.04,7.1,0.27,4.3,265.0
"09:00:00,","삼성동(삼성증압),",0.04,7.1,0.34,5.4,269.0
"10:00:00,","서초,",0.04,7.0,0.4,6.1,285.0
"10:00:00,","방배,",,7.1,0.35,5.9,252.0
"10:00:00,","일원,",0.04,7.1,0.39,7.2,280.0
"10:00:00,","우면산,",0.02,7.1,0.47,5.9,260.0
"10:00:00,","도곡동(강남수도),",0.05,7.1,0.25,6.3,251.0
"10:00:00,","반포,",0.05,6.9,0.39,6.4,292.0
"10:00:00,","내곡동(연간단가),",0.05,7.1,0.27,6.6,256.0
"10:00:00,","반포동(자이A),",0.04,6.9,0.41,5.3,233.0
"10:00:00,","방배동(청두공원),",,,,,
"10:00:00,","내곡,",0.05,6.9,0.35,8.5,264.0
"10:00:00,","우면동(품질시험소),",0.04,7.1,0.35,8.0,256.0
"10:00:00,","논현동(논현초교),",0.1,7.1,0.21,10.1,232.0
,"양재동(매헌초교),",0.11,7.1,0.33,6.5,247.0
"10:00:00,","삼성,",0.02,6.9,0.42,5.7,100.0
"10:00:00,","봉은,",0.05,7.1,0.41,7.2,250.0
"10:00:00,","수서,",0.02,6.9,0.44,5.7,100.0
,,0.04,7.1,0.29,4.4,265.0
"10:00:00,","삼성동(삼성증압),",0.04,7.1,0.35,5.5,270.0
"11:00:00,","서초,",0.04,7.0,0.39,6.0,283.0
"11:00:00,","방배,",0.05,7.1,0.36,6.0,251.0
"11:00:00,","일원,",0.04,7.1,0.37,7.3,281.0
"11:00:00,","우면산,",0.02,7.1,0.47,5.9,261.0
"11:00:00,","도곡동(강남수도),",,7.0,0.24,6.4,256.0
"11:00:00,","반포,",0.05,6.9,0.38,6.4,290.0
"11:00:00,","내곡동(연간단가),",0.05,7.1,0.26,6.7,259.0
"11:00:00,","반포동(자이A),",0.04,6.9,0.4,5.3,233.0
"11:00:00,","방배동(청두공원),",,,,,
"11:00:00,","내곡,",0.04,6.9,0.34,8.4,265.0
,"우면동(품질시험소),",0.04,7.1,0.31,8.4,254.0
"11:00:00,","논현동(논현초교),",0.1,7.0,,11.1,225.0
"11:00:00,","양재동(매헌초교),",0.11,7.1,0.32,6.7,247.0
"11:00:00,","삼성,",0.02,6.9,0.41,5.7,100.0
"11:00:00,","봉은,",0.05,7.1,0.4,7.3,250.0
"11:00:00,","수서,",0.02,6.9,0.43,5.7,100.0
"11:00:00,","자곡동(자곡증압),",0.04,7.1,0.35,4.5,261.0
"11:00:00,","삼성동(삼성증압),",0.04,7.1,0.34,,271.0
"12:00:00,","서초,",0.04,7.1,0.39,6.2,281.0
"12:00:00,","방배,",0.05,7.1,0.37,6.0,250.0
"12:00:00,","일원,",,7.1,0.4,7.2,281.0
"12:00:00,","우면산,",0.02,7.1,0.47,5.9,261.0
"12:00:00,","도곡동(강남수도),",0.05,7.0,0.24,6.4,258.0
"12:00:00,","반포,",0.05,6.9,0.37,6.4,287.0
"12:00:00,",,0.05,7.1,0.32,6.7,258.0
"12:00:00,","반포동(자이A),",0.04,7.0,0.43,4.4,225.0
"12:00:00,","방배동(청두공원),",,,,,
"12:00:00,","내곡,",0.05,6.9,0.36,8.4,264.0
"12:00:00,","우면동(품질시험소),",0.04,7.1,0.31,8.7,252.0
"12:00:00,","논현동(논현초교),",0.1,7.1,0.21,10.9,222.0
"12:00:00,","양재동(매헌초교),",0.11,7.1,0.33,6.9,245.0
"12:00:00,","삼성,",0.02,6.9,0.41,5.8,100.0
"12:00:00,","봉은,",0.05,7.1,0.4,7.3,251.0
"12:00:00,","수서,",0.02,6.9,,5.8,100.0
"12:00:00,","자곡동(자곡증압),",0.04,7.1,0.38,4.6,259.0
"12:00:00,","삼성동(삼성증압),",0.04,7.1,0.34,5.8,272.0
"13:00:00,","서초,",0.04,,0.4,6.2,281.0
"13:00:00,","방배,",0.05,7.1,0.36,6.0,250.0
"13:00:00,","일원,",0.04,7.1,0.41,7.2,280.0
"13:00:00,","우면산,",0.02,7.1,0.43,5.9,262.0
"13:00:00,","도곡동(강남수도),",0.05,7.0,0.24,6.5,257.0
,"반포,",0.05,6.9,0.37,6.4,
"13:00:00,","내곡동(연간단가),",0.05,7.1,0.27,6.6,
"13:00:00,","반포동(자이A),",0.03,6.9,0.46,4.2,226.0
"13:00:00,","방배동(청두공원),",,,,,
"13:00:00,","내곡,",0.04,6.9,0.36,8.5,265.0
"13:00:00,","우면동(품질시험소),",0.04,7.1,0.3,8.8,250.0
"13:00:00,","논현동(논현초교),",0.1,7.1,0.21,10.4,222.0
"13:00:00,","양재동(매헌초교),",0.11,7.1,0.32,7.2,244.0
"13:00:00,","삼성,",0.02,6.9,,5.7,100.0
"13:00:00,","봉은,",0.05,7.1,0.41,7.4,252.0
"13:00:00,","수서,",0.02,6.9,0.42,5.7,100.0
"13:00:00,","자곡동(자곡증압),",0.04,7.1,0.33,4.8,262.0
,"삼성동(삼성증압),",0.04,7.1,0.33,5.9,272.0
"14:00:00,","서초,",0.04,7.1,0.4,6.3,280.0
"14:00:00,","방배,",0.05,7.1,0.36,6.0,250.0
"14:00:00,","일원,",0.04,7.1,,7.2,278.0
"14:00:00,","우면산,",0.02,7.1,0.03,6.4,260.0
"14:00:00,","도곡동(강남수도),",0.05,7.0,0.22,6.6,259.0
"14:00:00,","반포,",,6.9,0.35,6.4,285.0
,"내곡동(연간단가),",0.05,7.1,0.33,6.5,252.0
"14:00:00,","반포동(자이A),",0.03,6.9,0.45,4.3,226.0
"14:00:00,","방배동(청두공원),",,,,,
"14:00:00,","내곡,",0.04,6.9,0.34,8.3,264.0
"14:00:00,","우면동(품질시험소),",0.04,7.1,0.3,8.5,250.0
"14:00:00,","논현동(논현초교),",0.1,7.1,0.21,10.4,219.0
"14:00:00,","양재동(매헌초교),",0.11,7.1,0.33,7.2,242.0
"14:00:00,","삼성,",0.02,6.9,0.4,5.7,100.0
"14:00:00,","봉은,",0.05,7.1,0.41,7.5,
"14:00:00,","수서,",0.02,6.9,0.41,5.7,100.0
"14:00:00,","자곡동(자곡증압),",0.04,7.2,0.37,4.8,260.0
"14:00:00,","삼성동(삼성증압),",0.04,7.1,0.34,6.0,273.0
"15:00:00,","서초,",0.04,7.1,0.41,6.2,281.0
"15:00:00,","방배,",0.05,,0.36,6.0,250.0
"15:00:00,",,0.04,7.1,0.47,7.2,279.0
"15:00:00,","우면산,",0.03,,0.03,6.3,261.0
"15:00:00,","도곡동(강남수도),",0.05,7.0,0.23,6.5,256.0
"15:00:00,","반포,",0.05,6.9,0.35,6.4,283.0
"15:00:00,","내곡동(연간단가),",0.05,7.1,0.37,6.6,253.0
"15:00:00,","반포동(자이A),",0.03,6.9,0.44,4.4,225.0
"15:00:00,","방배동(청두공원),",,,,,
"15:00:00,","내곡,",0.04,6.9,0.32,8.5,265.0
"15:00:00,","우면동(품질시험소),",0.04,7.2,0.32,8.7,249.0
"15:00:00,","논현동(논현초교),",0.1,7.0,0.21,11.5,217.0
"15:00:00,","양재동(매헌초교),",0.11,7.1,0.32,7.3,241.0
"15:00:00,","삼성,",0.02,6.9,0.4,5.7,100.0
"15:00:00,","봉은,",0.05,7.1,0.41,7.6,253.0
"15:00:00,","수서,",0.02,6.9,0.4,5.7,100.0
"15:00:00,","자곡동(자곡증압),",0.04,7.2,0.36,4.7,260.0
"15:00:00,","삼성동(삼성증압),",0.04,7.2,0.35,6.0,273.0
"16:00:00,","서초,",0.04,7.1,0.41,6.2,281.0
"16:00:00,","방배,",0.05,7.1,0.35,6.0,250.0
"16:00:00,","일원,",0.04,7.1,0.36,7.3,282.0
"16:00:00,","우면산,",0.02,7.3,0.03,6.1,262.0
"16:00:00,","도곡동(강남수도),",0.05,7.1,0.25,6.4,
"16:00:00,","반포,",0.05,6.9,0.35,6.4,283.0
"16:00:00,","내곡동(연간단가),",0.05,7.1,0.39,6.7,
"16:00:00,","반포동(자이A),",0.03,6.9,0.44,4.5,225.0
"16:00:00,","방배동(청두공원),",,,,,
"16:00:00,","내곡,",0.04,6.9,0.32,8.2,
"16:00:00,","우면동(품질시험소),",0.04,7.2,0.32,8.4,249.0
"16:00:00,","논현동(논현초교),",0.1,7.1,0.21,11.4,217.0
"16:00:00,","양재동(매헌초교),",0.11,7.1,0.32,7.3,241.0
"16:00:00,","삼성,",0.02,6.9,,5.8,100.0
"16:00:00,","봉은,",0.05,7.1,0.41,7.6,253.0
"16:00:00,","수서,",0.02,6.9,0.4,5.8,100.0
"16:00:00,","자곡동(자곡증압),",0.04,7.1,0.34,4.9,259.0
"16:00:00,","삼성동(삼성증압),",0.04,,0.34,6.0,274.0
"17:00:00,","서초,",,7.1,0.41,6.2,
"17:00:00,","방배,",0.05,7.2,0.35,6.0,250.0
"17:00:00,","일원,",0.04,7.1,0.33,,282.0
"17:00:00,","우면산,",0.02,7.2,0.03,6.1,263.0
"17:00:00,","도곡동(강남수도),",0.05,7.1,0.24,6.6,253.0
"17:00:00,","반포,",0.05,6.9,0.34,6.4,282.0
"17:00:00,","내곡동(연간단가),",0.05,7.2,,6.5,252.0
"17:00:00,","반포동(자이A),",,6.9,0.43,4.6,225.0
"17:00:00,","방배동(청두공원),",,,,,
"17:00:00,","내곡,",0.04,6.9,0.34,8.5,264.0
"17:00:00,","우면동(품질시험소),",0.04,7.2,0.32,8.7,248.0
"17:00:00,","논현동(논현초교),",0.1,7.1,0.21,10.9,217.0
"17:00:00,","양재동(매헌초교),",0.11,7.1,0.32,7.4,241.0
"17:00:00,","삼성,",0.02,6.9,0.4,5.7,100.0
"17:00:00,","봉은,",0.05,7.1,0.41,7.7,253.0
"17:00:00,","수서,",0.02,6.9,0.41,5.7,100.0
"17:00:00,","자곡동(자곡증압),",0.04,7.1,0.33,4.8,260.0
"17:00:00,","삼성동(삼성증압),",0.04,7.2,0.35,6.0,275.0
"18:00:00,","서초,",0.04,7.1,0.41,6.2,281.0
"18:00:00,","방배,",0.05,7.2,0.35,,251.0
"18:00:00,","일원,",0.04,7.1,0.48,7.1,276.0
"18:00:00,","우면산,",,,,,
"18:00:00,","도곡동(강남수도),",0.05,7.1,0.23,6.6,254.0
"18:00:00,","반포,",0.05,6.9,0.34,6.4,281.0
"18:00:00,","내곡동(연간단가),",0.05,7.2,0.32,6.6,253.0
"18:00:00,","반포동(자이A),",0.03,6.9,0.42,,225.0
"18:00:00,","방배동(청두공원),",,,,,
"18:00:00,","내곡,",0.04,6.9,0.32,8.3,265.0
"18:00:00,","우면동(품질시험소),",0.04,7.2,0.32,8.8,248.0
,"논현동(논현초교),",0.11,7.1,0.21,10.8,218.0
"18:00:00,","양재동(매헌초교),",0.11,7.1,0.33,7.4,242.0
"18:00:00,","삼성,",0.02,6.9,0.4,5.7,100.0
"18:00:00,","봉은,",0.05,,0.41,7.7,252.0
"18:00:00,","수서,",0.02,6.9,0.43,5.7,100.0
"18:00:00,","자곡동(자곡증압),",0.04,7.2,0.37,4.6,262.0
"18:00:00,","삼성동(삼성증압),",0.04,7.2,0.35,5.9,275.0
"19:00:00,","서초,",0.04,7.1,0.41,6.1,282.0
"19:00:00,","방배,",0.05,7.2,,6.0,252.0
"19:00:00,","일원,",0.04,7.1,0.41,7.3,276.0
"19:00:00,","우면산,",0.02,7.1,0.03,6.1,
"19:00:00,","도곡동(강남수도),",0.05,7.1,0.25,6.3,254.0
"19:00:00,","반포,",0.05,6.9,0.34,6.5,281.0
"19:00:00,","내곡동(연간단가),",0.05,7.2,0.31,6.7,254.0
"19:00:00,","반포동(자이A),",0.04,6.9,0.41,4.9,225.0
"19:00:00,","방배동(청두공원),",,,,,
"19:00:00,","내곡,",0.04,6.9,0.32,8.4,263.0
"19:00:00,","우면동(품질시험소),",0.04,7.2,0.32,8.8,248.0
"19:00:00,","논현동(논현초교),",0.1,7.0,0.21,11.9,216.0
"19:00:00,","양재동(매헌초교),",0.11,7.1,0.32,7.4,242.0
"19:00:00,","삼성,",0.02,6.9,0.4,5.7,100.0
"19:00:00,","봉은,",0.05,7.1,0.41,7.7,252.0
"19:00:00,","수서,",0.02,6.9,0.44,5.7,100.0
"19:00:00,","자곡동(자곡증압),",0.04,7.2,0.35,4.4,262.0
"19:00:00,","삼성동(삼성증압),",0.04,7.2,0.35,5.9,275.0
"20:00:00,","서초,",0.04,7.1,0.41,6.1,
"20:00:00,","방배,",0.05,7.2,0.36,6.0,253.0
"20:00:00,","일원,",0.04,7.1,0.37,7.5,276.0
"20:00:00,","우면산,",,,,,
"20:00:00,","도곡동(강남수도),",0.05,7.1,0.25,6.4,254.0
"20:00:00,",,0.05,6.9,0.33,,281.0
"20:00:00,","내곡동(연간단가),",0.05,7.2,0.33,6.7,255.0
"20:00:00,","반포동(자이A),",0.04,,0.4,5.0,225.0
"20:00:00,","방배동(청두공원),",,,,,
"20:00:00,","내곡,",0.04,6.9,0.33,8.4,264.0
"20:00:00,","우면동(품질시험소),",0.04,7.2,0.32,8.9,247.0
"20:00:00,","논현동(논현초교),",0.09,7.0,0.21,12.6,217.0
"20:00:00,","양재동(매헌초교),",0.11,7.1,0.32,7.4,242.0
"20:00:00,","삼성,",0.02,6.9,0.4,5.7,100.0
,"봉은,",0.05,7.1,0.41,7.8,251.0
"20:00:00,","수서,",0.02,6.9,0.43,5.7,100.0
,"자곡동(자곡증압),",0.04,7.2,0.34,4.4,262.0
"20:00:00,","삼성동(삼성증압),",,7.2,0.35,5.9,274.0
,"서초,",0.04,7.1,0.42,6.1,284.0
"21:00:00,","방배,",0.05,7.2,0.36,6.0,253.0
"21:00:00,","일원,",0.04,7.1,0.37,7.4,277.0
,"우면산,",0.03,7.1,0.03,6.1,260.0
"21:00:00,","도곡동(강남수도),",0.05,7.1,0.23,6.5,254.0
"21:00:00,","반포,",0.05,6.9,0.32,6.4,282.0
"21:00:00,","내곡동(연간단가),",0.05,7.2,0.36,6.8,256.0
"21:00:00,","반포동(자이A),",0.04,6.9,0.39,5.2,225.0
"21:00:00,","방배동(청두공원),",,,,,
"21:00:00,","내곡,",,6.9,0.3,8.3,263.0
"21:00:00,","우면동(품질시험소),",0.04,7.2,0.34,8.8,248.0
"21:00:00,","논현동(논현초교),",0.1,7.1,0.21,12.1,217.0
"21:00:00,","양재동(매헌초교),",0.11,7.1,0.32,,242.0
"21:00:00,","삼성,",0.02,,0.4,5.7,100.0
"21:00:00,","봉은,",0.05,7.1,0.4,7.8,251.0
"21:00:00,",,0.02,6.9,0.42,5.7,100.0
"21:00:00,","자곡동(자곡증압),",0.04,7.2,0.34,4.4,261.0
"21:00:00,","삼성동(삼성증압),",0.04,7.2,0.35,5.8,274.0
"22:00:00,","서초,",,7.1,0.42,6.1,284.0
"22:00:00,",,0.05,7.2,0.36,6.0,254.0
"22:00:00,","일원,",0.04,7.1,0.34,7.5,273.0
"22:00:00,","우면산,",0.03,7.2,,6.2,261.0
"22:00:00,","도곡동(강남수도),",,,0.24,6.3,253.0
"22:00:00,","반포,",0.05,6.9,0.32,6.4,283.0
"22:00:00,","내곡동(연간단가),",0.05,7.2,0.33,6.9,256.0
"22:00:00,","반포동(자이A),",0.04,7.0,0.38,,225.0
"22:00:00,","방배동(청두공원),",,,,,
"22:00:00,",,0.04,7.0,0.32,8.5,263.0
"22:00:00,","우면동(품질시험소),",0.04,7.2,0.34,8.8,249.0
"22:00:00,","논현동(논현초교),",0.1,7.1,0.21,11.9,218.0
"22:00:00,","양재동(매헌초교),",0.11,7.1,0.32,7.3,241.0
"22:00:00,","삼성,",0.02,6.9,0.41,5.8,100.0
"22:00:00,","봉은,",0.05,7.1,0.41,7.9,250.0
"22:00:00,","수서,",0.02,6.9,0.41,5.8,100.0
"22:00:00,","자곡동(자곡증압),",0.04,7.2,,4.4,261.0
"22:00:00,","삼성동(삼성증압),",0.04,7.2,0.35,5.8,273.0
"23:00:00,","서초,",0.04,7.1,0.42,6.1,285.0
"23:00:00,","방배,",0.05,7.2,0.36,6.0,254.0
"23:00:00,","일원,",0.04,7.1,0.35,7.3,270.0
"23:00:00,","우면산,",0.03,,0.03,6.2,260.0
"23:00:00,","도곡동(강남수도),",0.05,,0.25,6.0,255.0
"23:00:00,","반포,",0.05,6.9,0.33,6.5,283.0
"23:00:00,","내곡동(연간단가),",0.05,,0.29,6.8,256.0
"23:00:00,","반포동(자이A),",0.03,7.0,0.44,4.3,226.0
"23:00:00,","방배동(청두공원),",,,,,
"23:00:00,","내곡,",0.04,7.0,0.35,8.2,263.0
"23:00:00,","우면동(품질시험소),",0.04,7.2,,8.8,249.0
"23:00:00,","논현동(논현초교),",0.1,,0.2,12.7,219.0
"23:00:00,","양재동(매헌초교),",0.11,7.1,0.32,7.2,242.0
"23:00:00,","삼성,",0.02,6.9,0.41,5.8,100.0
"23:00:00,","봉은,",0.05,7.1,0.41,7.9,250.0
"23:00:00,","수서,",0.02,6.9,0.41,5.8,100.0
"23:00:00,","자곡동(자곡증압),",0.04,7.2,0.33,4.4,260.0
"23:00:00,","삼성동(삼성증압),",0.04,7.2,0.35,5.7,273.0
"00:00:00,","서초,",0.04,7.1,0.41,6.1,285.0
"00:00:00,","방배,",0.05,7.2,0.36,6.0,255.0
"00:00:00,","일원,",0.04,,0.41,7.2,270.0
"00:00:00,","우면산,",,7.2,0.03,6.1,261.0
"00:00:00,","도곡동(강남수도),",0.05,7.1,0.24,6.0,255.0
"00:00:00,","반포,",0.05,6.9,0.34,6.5,283.0
"00:00:00,","내곡동(연간단가),",0.05,7.2,0.29,6.8,255.0
,"반포동(자이A),",0.03,7.0,0.45,4.2,226.0
"00:00:00,","방배동(청두공원),",,,,,
"00:00:00,","내곡,",0.04,7.0,0.36,8.4,262.0
"00:00:00,","우면동(품질시험소),",0.04,7.2,0.31,8.7,250.0
"00:00:00,","논현동(논현초교),",0.09,7.1,0.21,13.3,216.0
"00:00:00,","양재동(매헌초교),",0.11,7.1,0.32,7.2,243.0
"00:00:00,","삼성,",0.02,6.9,0.41,5.8,100.0
"00:00:00,","봉은,",0.05,7.1,0.41,7.8,251.0
"00:00:00,","수서,",0.02,6.9,0.41,5.8,100.0
"00:00:00,","자곡동(자곡증압),",0.04,7.2,0.27,4.5,262.0
"00:00:00,","삼성동(삼성증압),",0.04,7.2,0.35,5.7,272.0
"01:00:00,","서초,",0.04,7.1,0.41,5.9,285.0
"01:00:00,","방배,",0.05,7.2,0.36,6.0,255.0
"01:00:00,","일원,",0.05,7.1,0.4,7.2,270.0
"01:00:00,","우면산,",0.03,7.2,0.03,6.1,261.0
"01:00:00,","도곡동(강남수도),",0.05,7.1,0.25,6.0,255.0
"01:00:00,","반포,",0.05,6.9,0.34,6.4,283.0
"01:00:00,","내곡동(연간단가),",0.05,7.2,0.33,6.7,255.0
"01:00:00,","반포동(자이A),",0.03,7.0,0.44,4.3,226.0
"01:00:00,","방배동(청두공원),",,,,,
"01:00:00,","내곡,",0.04,7.0,0.35,8.3,263.0
"01:00:00,","우면동(품질시험소),",0.04,7.2,0.33,8.7,250.0
"01:00:00,","논현동(논현초교),",0.1,7.1,0.21,14.5,209.0
"01:00:00,","양재동(매헌초교),",0.11,7.1,0.32,7.1,243.0
"01:00:00,","삼성,",0.02,6.9,0.4,5.8,100.0
"01:00:00,","봉은,",0.05,,0.41,,252.0
"01:00:00,","수서,",0.02,6.9,0.41,5.8,100.0
"01:00:00,","자곡동(자곡증압),",0.04,7.1,0.28,4.4,260.0
"01:00:00,","삼성동(삼성증압),",0.04,7.2,0.37,5.6,272.0
"02:00:00,","서초,",,7.1,0.4,6.0,285.0
"02:00:00,","방배,",0.05,7.2,0.35,5.9,255.0
"02:00:00,","일원,",0.05,7.1,0.38,,271.0
"02:00:00,","우면산,",0.02,7.2,0.03,6.1,262.0
"02:00:00,","도곡동(강남수도),",0.05,7.1,0.25,5.9,
"02:00:00,","반포,",0.05,6.9,0.35,6.4,283.0
"02:00:00,","내곡동(연간단가),",0.05,7.2,0.32,6.7,255.0
"02:00:00,","반포동(자이A),",0.03,7.0,0.44,4.4,226.0
"02:00:00,","방배동(청두공원),",,,,,
"02:00:00,","내곡,",0.04,7.0,0.33,8.4,262.0
"02:00:00,","우면동(품질시험소),",0.04,7.2,0.31,8.7,250.0
"02:00:00,","논현동(논현초교),",0.1,7.2,0.21,17.3,193.0
"02:00:00,","양재동(매헌초교),",0.11,7.1,0.33,7.1,243.0
"02:00:00,","삼성,",0.02,6.9,0.41,5.9,100.0
"02:00:00,","봉은,",0.05,7.1,0.41,7.6,252.0
"02:00:00,","수서,",0.02,6.9,0.41,5.9,100.0
